cell,cluster
HN28_P6_G05_S173_comb,myofibroblast
HN25_P5_E10_S58_comb,myofibroblast
HN26_P6_B06_S18_comb,myofibroblast
HN25_P5_C05_S29_comb,CAF
HN28_P6_D09_S141_comb,Fibroblast
HN26_P5_H01_S85_comb,malignant
HN26_P5_E06_S54_comb,malignant
HN26_P6_D08_S44_comb,malignant
HN25_P5_E12_S60_comb,myofibroblast
HN25_P5_F01_S61_comb,myofibroblast
HN26_P5_D12_S48_comb,myofibroblast
HN25_P5_E11_S59_comb,malignant
HN26_P5_G11_S83_comb,myofibroblast
HN26_P6_B04_S16_comb,malignant
HN28_P6_A09_S105_comb,myofibroblast
HN28_P6_H07_S187_comb,Fibroblast
HN28_P6_B03_S111_comb,myofibroblast
HN26_P5_H08_S92_comb,malignant
HN25_P5_B06_S18_comb,myocyte
HN25_P5_B04_S16_comb,Fibroblast
HN25_P5_A05_S5_comb,myofibroblast
HN26_P5_D09_S45_comb,malignant
HN26_P6_A08_S8_comb,CAF
HN25_P5_B12_S24_comb,malignant
HN28_P6_A02_S98_comb,CAF
HN28_P6_H10_S190_comb,myofibroblast
HN28_P6_G06_S174_comb,myofibroblast
HN25_P5_H09_S93_comb,myofibroblast
HN28_P6_C01_S121_comb,Endothelial
HN26_P5_F06_S66_comb,myofibroblast
HN25_P5_B01_S13_comb,myofibroblast
HN26_P6_B02_S14_comb,malignant
HN28_P6_E12_S156_comb,CAF
HN25_P5_G10_S82_comb,Fibroblast
HN26_P6_G03_S75_comb,CAF
HN25_P5_E09_S57_comb,malignant
HN28_P6_D03_S135_comb,myofibroblast
HN26_P5_F01_S61_comb,myofibroblast
HN28_P6_A11_S107_comb,malignant
HN26_P6_B05_S17_comb,malignant
HN26_P5_F02_S62_comb,malignant
HN26_P5_G03_S75_comb,CAF
HN25_P5_D05_S41_comb,myofibroblast
HN26_P6_H12_S96_comb,myofibroblast
HN25_P5_D12_S48_comb,malignant
HN25_P5_F12_S72_comb,malignant
HN25_P5_E06_S54_comb,myofibroblast
HN28_P6_E06_S150_comb,myofibroblast
HN28_P6_E09_S153_comb,CAF
HN25_P5_F09_S69_comb,malignant
HN28_P6_E02_S146_comb,myofibroblast
HN25_P5_D10_S46_comb,myofibroblast
HN28_P6_E10_S154_comb,Fibroblast
HN28_P6_D12_S144_comb,CAF
HN26_P5_E08_S56_comb,myofibroblast
HN28_P6_B07_S115_comb,CAF
HN25_P5_A07_S7_comb,malignant
HN28_P6_B09_S117_comb,Fibroblast
HN25_P5_E05_S53_comb,CAF
HN25_P5_D04_S40_comb,myofibroblast
HN28_P6_F05_S161_comb,CAF
HN28_P6_D08_S140_comb,CAF
HN26_P6_B08_S20_comb,malignant
HN26_P5_A09_S9_comb,malignant
HN26_P6_F03_S63_comb,myofibroblast
HN28_P6_G08_S176_comb,CAF
HN25_P5_G12_S84_comb,Mast
HN26_P5_A07_S7_comb,malignant
HN25_P5_B07_S19_comb,Fibroblast
HN25_P5_H04_S88_comb,malignant
HN28_P6_F12_S168_comb,CAF
HN26_P5_G06_S78_comb,malignant
HN28_P6_G11_S179_comb,myofibroblast
HN26_P5_H04_S88_comb,myofibroblast
HN26_P6_F08_S68_comb,myofibroblast
HN28_P6_F09_S165_comb,myofibroblast
HN28_P6_C07_S127_comb,myofibroblast
HN28_P6_H12_S192_comb,myofibroblast
HN26_P6_F07_S67_comb,CAF
HN26_P6_D05_S41_comb,malignant
HN25_P5_B03_S15_comb,myofibroblast
HN25_P5_A09_S9_comb,myocyte
HN28_P6_C02_S122_comb,CAF
HN28_P6_D06_S138_comb,CAF
HN25_P5_D01_S37_comb,myofibroblast
HN26_P6_H06_S90_comb,malignant
HN25_P5_H06_S90_comb,myofibroblast
HN26_P5_F05_S65_comb,myofibroblast
HN26_P6_B07_S19_comb,myofibroblast
HN26_P5_E02_S50_comb,myofibroblast
HN26_P5_E12_S60_comb,myofibroblast
HN25_P5_D07_S43_comb,CAF
HN25_P5_C09_S33_comb,malignant
HN25_P5_C12_S36_comb,CAF
HN28_P6_C11_S131_comb,myofibroblast
HN25_P5_C08_S32_comb,CAF
HN25_P5_G02_S74_comb,malignant
HN25_P5_H12_S96_comb,malignant
HN25_P5_E08_S56_comb,CAF
HN25_P5_D08_S44_comb,malignant
HN28_P6_H09_S189_comb,malignant
HN26_P5_A06_S6_comb,malignant
HN25_P5_A06_S6_comb,malignant
HN25_P5_H02_S86_comb,Fibroblast
HN25_P5_A12_S12_comb,CAF
HN26_P6_E01_S49_comb,myofibroblast
HN28_P6_A03_S99_comb,CAF
HN28_P6_D10_S142_comb,myofibroblast
HN28_P6_F01_S157_comb,CAF
HN26_P5_G02_S74_comb,myofibroblast
HN28_P6_B12_S120_comb,CAF
HN25_P5_E04_S52_comb,CAF
HN28_P6_B11_S119_comb,myofibroblast
HN26_P6_G04_S76_comb,T_cell
HN28_P6_G09_S177_comb,myofibroblast
HN26_P5_E03_S51_comb,myofibroblast
HN25_P5_E07_S55_comb,malignant
HN26_P6_C01_S25_comb,myofibroblast
HN26_P5_G12_S84_comb,myofibroblast
HN26_P5_H10_S94_comb,malignant
HN28_P6_B02_S110_comb,malignant
HN25_P5_C07_S31_comb,malignant
HN26_P6_H05_S89_comb,myofibroblast
HN25_P5_H08_S92_comb,myofibroblast
HN28_P6_H02_S182_comb,Fibroblast
HN28_P6_F07_S163_comb,Fibroblast
HN25_P5_G03_S75_comb,malignant
HN25_P5_B10_S22_comb,malignant
HN25_P5_C02_S26_comb,malignant
HN28_P6_H11_S191_comb,myofibroblast
HN28_P6_C05_S125_comb,CAF
HN26_P5_D11_S47_comb,malignant
HN28_P6_H01_S181_comb,myofibroblast
HN25_P5_F08_S68_comb,myofibroblast
HN25_P5_A08_S8_comb,CAF
HN26_P6_C06_S30_comb,malignant
HN26_P5_C11_S35_comb,myofibroblast
HN25_P5_H03_S87_comb,myofibroblast
HN25_P5_D09_S45_comb,malignant
HN28_P6_F03_S159_comb,CAF
HN28_P6_D05_S137_comb,myofibroblast
HN26_P5_D02_S38_comb,myofibroblast
HN26_P6_E02_S50_comb,CAF
HN26_P6_E09_S57_comb,malignant
HN28_P6_D11_S143_comb,myofibroblast
HN25_P5_H11_S95_comb,myocyte
HN26_P6_B09_S21_comb,T_cell
HN28_P6_A05_S101_comb,CAF
HN28_P6_A04_S100_comb,CAF
HN25_P5_H05_S89_comb,myofibroblast
HN28_P6_B04_S112_comb,Fibroblast
HN25_P5_A10_S10_comb,CAF
HN26_P5_D01_S37_comb,malignant
HN26_P6_A04_S4_comb,malignant
HN25_P5_E01_S49_comb,malignant
HN28_P6_B06_S114_comb,CAF
HN26_P5_C03_S27_comb,myofibroblast
HN28_P6_D07_S139_comb,myofibroblast
HN25_P5_B02_S14_comb,myofibroblast
HN26_P5_D06_S42_comb,malignant
HN28_P6_F04_S160_comb,myofibroblast
HN28_P6_E07_S151_comb,myofibroblast
HN26_P5_C12_S36_comb,Mast
HN26_P6_H10_S94_comb,malignant
HN28_P6_E04_S148_comb,CAF
HN25_P5_H01_S85_comb,CAF
HN26_P5_F12_S72_comb,CAF
HN28_P6_F08_S164_comb,myofibroblast
HN28_P6_F11_S167_comb,myofibroblast
HN26_P6_G01_S73_comb,malignant
HN28_P6_F10_S166_comb,Fibroblast
HN25_P5_G04_S76_comb,T_cell
HN25_P5_C11_S35_comb,Dendritic
HN25_P5_E03_S51_comb,T_cell
HN25_P5_F02_S62_comb,myofibroblast
HN25_P5_C10_S34_comb,Fibroblast
HN26_P6_F09_S69_comb,CAF
HN25_P5_F11_S71_comb,malignant
HN25_P5_H07_S91_comb,myofibroblast
HN26_P6_H04_S88_comb,malignant
HN25_P5_G08_S80_comb,myofibroblast
HN26_P6_A05_S5_comb,malignant
HN25_P5_F06_S66_comb,Mast
HN28_P6_C10_S130_comb,CAF
HN25_P5_B09_S21_comb,malignant
HN26_P5_G08_S80_comb,myofibroblast
HN26_P6_H11_S95_comb,myofibroblast
HN25_P5_B08_S20_comb,Mast
HN28_P6_D04_S136_comb,CAF
HN26_P5_F03_S63_comb,myofibroblast
HN28_P6_D02_S134_comb,myofibroblast
HN25_P5_G09_S81_comb,myofibroblast
HN25_P5_C03_S27_comb,Mast
HN26_P6_E03_S51_comb,malignant
HN25_P5_D02_S38_comb,CAF
HN26_P5_E01_S49_comb,myofibroblast
HN26_P6_B01_S13_comb,myofibroblast
HN26_P5_C07_S31_comb,myofibroblast
HN26_P6_A09_S9_comb,malignant
HN28_P6_F06_S162_comb,CAF
HN28_P6_A10_S106_comb,myofibroblast
HN25_P5_G05_S77_comb,malignant
HN26_P5_B04_S16_comb,myofibroblast
HN28_P6_A08_S104_comb,Fibroblast
HN28_P6_B10_S118_comb,myofibroblast
HN26_P6_F02_S62_comb,malignant
HN26_P6_G07_S79_comb,malignant
HN28_P5_D11_S239_comb,CAF
HN28_P3P4_A07_S7_comb,myofibroblast
HN28_P3P4_F08_S68_comb,Fibroblast
HN28_P3P4_D07_S43_comb,malignant
HN28_P3P4_A12_S12_comb,CAF
HN28_P3P4_A03_S3_comb,myocyte
HN28_P3P4_H08_S92_comb,myofibroblast
HN28_P3P4_A08_S8_comb,myofibroblast
HN28_P5_A11_S203_comb,Endothelial
HN28_P3P4_F02_S62_comb,Fibroblast
HN28_P5_G10_S274_comb,CAF
HN28_P3P4_G12_S84_comb,myofibroblast
HN28_P5_A05_S197_comb,myofibroblast
HN28_P5_G05_S269_comb,malignant
HN28_P3P4_H07_S91_comb,myofibroblast
HN28_P5_G12_S276_comb,CAF
HN28_P3P4_H01_S85_comb,malignant
HN28_P5_B03_S207_comb,myofibroblast
HN28_P5_E07_S247_comb,malignant
HN28_P3P4_F06_S66_comb,malignant
HN28_P3P4_E08_S56_comb,myofibroblast
HN28_P5_F08_S260_comb,CAF
HN28_P3P4_E05_S53_comb,myofibroblast
HN28_P3P4_D11_S47_comb,malignant
HN28_P5_F02_S254_comb,CAF
HN28_P3P4_C11_S35_comb,CAF
HN28_P3P4_G05_S77_comb,Fibroblast
HN28_P3P4_H10_S94_comb,Fibroblast
HN28_P5_H08_S284_comb,myofibroblast
HN28_P3P4_E06_S54_comb,myofibroblast
HN28_P3P4_C04_S28_comb,CAF
HN28_P5_G04_S268_comb,myofibroblast
HN28_P5_H11_S287_comb,CAF
HN28_P3P4_B04_S16_comb,myofibroblast
HN28_P5_E09_S249_comb,myofibroblast
HN28_P3P4_F03_S63_comb,myofibroblast
HN28_P3P4_G03_S75_comb,Endothelial
HN28_P5_B02_S206_comb,malignant
HN28_P3P4_D12_S48_comb,myofibroblast
HN28_P3P4_B02_S14_comb,CAF
HN28_P5_A07_S199_comb,malignant
HN28_P3P4_E03_S51_comb,CAF
HN28_P5_H07_S283_comb,Fibroblast
HN28_P3P4_D09_S45_comb,malignant
HN28_P3P4_B06_S18_comb,CAF
HN28_P5_D07_S235_comb,CAF
HN28_P3P4_G02_S74_comb,CAF
HN28_P5_G07_S271_comb,myofibroblast
HN28_P3P4_H12_S96_comb,myofibroblast
HN28_P3P4_F05_S65_comb,CAF
HN28_P3P4_E02_S50_comb,myocyte
HN28_P5_C08_S224_comb,myofibroblast
HN28_P5_F06_S258_comb,CAF
HN28_P5_D04_S232_comb,myofibroblast
HN28_P5_D02_S230_comb,CAF
HN28_P5_H04_S280_comb,myofibroblast
HN28_P5_G01_S265_comb,CAF
HN28_P5_C09_S225_comb,myofibroblast
HN28_P3P4_G04_S76_comb,CAF
HN28_P3P4_A01_S1_comb,CAF
HN28_P3P4_H05_S89_comb,CAF
HN28_P5_E10_S250_comb,CAF
HN28_P5_A09_S201_comb,malignant
HN28_P3P4_C12_S36_comb,myofibroblast
HN28_P3P4_H09_S93_comb,CAF
HN28_P3P4_B01_S13_comb,CAF
HN28_P3P4_H06_S90_comb,myofibroblast
HN28_P3P4_B10_S22_comb,myocyte
HN28_P3P4_F10_S70_comb,myofibroblast
HN28_P3P4_A06_S6_comb,malignant
HN28_P5_E04_S244_comb,myofibroblast
HN28_P5_B04_S208_comb,myofibroblast
HN28_P5_B05_S209_comb,myofibroblast
HN28_P5_F03_S255_comb,myofibroblast
HN28_P5_H02_S278_comb,malignant
HN28_P3P4_B12_S24_comb,malignant
HN28_P3P4_G06_S78_comb,myofibroblast
HN28_P3P4_B08_S20_comb,myofibroblast
HN28_P3P4_B11_S23_comb,Endothelial
HN28_P5_H03_S279_comb,CAF
HN28_P3P4_E07_S55_comb,CAF
HN28_P3P4_H02_S86_comb,myofibroblast
HN28_P3P4_E04_S52_comb,Fibroblast
HN28_P3P4_D08_S44_comb,myofibroblast
HN28_P3P4_D04_S40_comb,myofibroblast
HN28_P5_H09_S285_comb,myofibroblast
HN28_P5_C10_S226_comb,CAF
HN28_P5_B11_S215_comb,CAF
HN28_P3P4_H11_S95_comb,myofibroblast
HN28_P3P4_E09_S57_comb,myofibroblast
HN28_P5_B10_S214_comb,CAF
HN28_P3P4_D06_S42_comb,Fibroblast
HN28_P5_E05_S245_comb,Fibroblast
HN28_P3P4_B09_S21_comb,myofibroblast
HN28_P3P4_A02_S2_comb,Macrophage
HN28_P5_H10_S286_comb,myofibroblast
HN28_P3P4_D02_S38_comb,Fibroblast
HN28_P3P4_G01_S73_comb,CAF
HN28_P3P4_H04_S88_comb,malignant
HN28_P5_F04_S256_comb,CAF
HN28_P5_C04_S220_comb,malignant
HN28_P5_G09_S273_comb,myofibroblast
HN28_P3P4_F12_S72_comb,Fibroblast
HN28_P3P4_B07_S19_comb,CAF
HN28_P3P4_C06_S30_comb,myofibroblast
HN28_P5_C07_S223_comb,CAF
HN28_P3P4_E10_S58_comb,myofibroblast
HN28_P3P4_D01_S37_comb,malignant
HN28_P5_A01_S193_comb,CAF
HN28_P5_F11_S263_comb,malignant
HN28_P3P4_F04_S64_comb,CAF
HN28_P5_E02_S242_comb,myofibroblast
HN28_P5_A10_S202_comb,myofibroblast
HN28_P3P4_G11_S83_comb,myofibroblast
HN28_P3P4_A05_S5_comb,CAF
HN28_P5_H06_S282_comb,Fibroblast
HN28_P5_H01_S277_comb,malignant
HN28_P5_F12_S264_comb,malignant
HN28_P3P4_C08_S32_comb,Fibroblast
HN28_P3P4_D10_S46_comb,myocyte
HN28_P3P4_C01_S25_comb,myofibroblast
HN28_P5_B09_S213_comb,malignant
HN28_P5_C05_S221_comb,malignant
HN28_P5_F07_S259_comb,CAF
HN28_P3P4_F09_S69_comb,CAF
HN28_P5_B08_S212_comb,malignant
HN28_P5_C01_S217_comb,myocyte
HN28_P3P4_A11_S11_comb,CAF
HN28_P3P4_C10_S34_comb,myofibroblast
HN28_P5_D01_S229_comb,Fibroblast
HN28_P3P4_E12_S60_comb,myocyte
HN28_P3P4_F01_S61_comb,CAF
HN28_P3P4_A09_S9_comb,malignant
HN28_P3P4_B05_S17_comb,CAF
HN28_P5_A08_S200_comb,CAF
HN28_P5_H05_S281_comb,CAF
HN28_P3P4_A04_S4_comb,myofibroblast
HN28_P3P4_G07_S79_comb,CAF
HN28_P5_E06_S246_comb,myofibroblast
HN28_P3P4_C09_S33_comb,Fibroblast
HN28_P3P4_F07_S67_comb,Endothelial
HN28_P5_G08_S272_comb,malignant
HN28_P3P4_G08_S80_comb,CAF
HN28_P3P4_H03_S87_comb,CAF
HN28_P5_A12_S204_comb,myofibroblast
HN28_P3P4_A10_S10_comb,CAF
HN28_P5_D05_S233_comb,malignant
HN28_P5_D06_S234_comb,myofibroblast
HN28_P3P4_C03_S27_comb,CAF
HN28_P3P4_C02_S26_comb,myofibroblast
HN28_P5_A04_S196_comb,malignant
HN28_P5_E03_S243_comb,myofibroblast
HN28_P5_A03_S195_comb,myofibroblast
HN28_P5_D12_S240_comb,Fibroblast
HN28_P3P4_B03_S15_comb,Endothelial
HN28_P3P4_D03_S39_comb,CAF
HN28_P5_G02_S266_comb,myofibroblast
HN28_P3P4_C05_S29_comb,CAF
HN28_P5_C02_S218_comb,Fibroblast
HN28_P3P4_C07_S31_comb,myofibroblast
HN28_P5_E11_S251_comb,myofibroblast
HN28_P3P4_F11_S71_comb,myofibroblast
HN28_P5_F10_S262_comb,malignant
HN25_P13P30_C07_S223_comb,T_cell
HN25_P13P30_C05_S221_comb,T_cell
HN25_P13P30_C03_S219_comb,T_cell
HN25_P13P30_D11_S239_comb,T_cell
HN25_P13P30_A10_S202_comb,T_cell
HN25_P13P30_D03_S231_comb,T_cell
HN25_P13P30_C11_S227_comb,T_cell
HN25_P13P30_A05_S197_comb,T_cell
HN25_P13P30_D06_S234_comb,T_cell
HN25_P13P30_C06_S222_comb,T_cell
HN25_P13P30_A08_S200_comb,T_cell
HN25_P13P30_B09_S213_comb,T_cell
HN25_P13P30_A03_S195_comb,T_cell
HN25_P13P30_B10_S214_comb,T_cell
HN25_P13P30_B03_S207_comb,T_cell
HN25_P13P30_C10_S226_comb,T_cell
HN25_P13P30_B08_S212_comb,T_cell
HN25_P13P30_B04_S208_comb,T_cell
HN25_P13P30_C04_S220_comb,T_cell
HN25_P13P30_A01_S193_comb,T_cell
HN25_P13P30_A09_S201_comb,T_cell
HN25_P13P30_D10_S238_comb,T_cell
HN25_P13P30_A12_S204_comb,T_cell
HN25_P13P30_C08_S224_comb,T_cell
HN25_P13P30_B05_S209_comb,T_cell
HN25_P13P30_D07_S235_comb,T_cell
HNSCC25_P2_C05_S29_comb,malignant
HNSCC25_P2_G09_S81_comb,malignant
HNSCC25_P2_H08_S92_comb,CAF
HNSCC25_P2_H09_S93_comb,myofibroblast
HNSCC25_P2_F07_S67_comb,myofibroblast
HNSCC25_P2_F09_S69_comb,malignant
HNSCC25_P2_A04_S4_comb,CAF
HNSCC25_P2_E02_S50_comb,myofibroblast
HNSCC25_P2_F05_S65_comb,myofibroblast
HNSCC25_P2_E08_S56_comb,malignant
HNSCC25_P2_D12_S48_comb,malignant
HNSCC25_P2_C06_S30_comb,malignant
HNSCC25_P2_H01_S85_comb,myofibroblast
HNSCC25_P2_D11_S47_comb,malignant
HNSCC25_P2_B10_S22_comb,Dendritic
HNSCC25_P2_C01_S25_comb,malignant
HNSCC25_P2_G02_S74_comb,malignant
HNSCC25_P2_E04_S52_comb,malignant
HNSCC25_P2_B11_S23_comb,CAF
HNSCC25_P2_D10_S46_comb,myofibroblast
HNSCC25_P2_F10_S70_comb,malignant
HNSCC25_P2_H06_S90_comb,T_cell
HNSCC25_P2_C09_S33_comb,CAF
HNSCC25_P2_C03_S27_comb,myofibroblast
HNSCC25_P2_G01_S73_comb,malignant
HNSCC25_P2_G12_S84_comb,CAF
HNSCC25_P2_G11_S83_comb,malignant
HNSCC25_P2_B01_S13_comb,malignant
HNSCC25_P2_D09_S45_comb,CAF
HNSCC25_P2_E09_S57_comb,malignant
HNSCC25_P2_H07_S91_comb,malignant
HNSCC25_P2_G08_S80_comb,myofibroblast
HNSCC25_P2_F12_S72_comb,malignant
HNSCC25_P2_B06_S18_comb,malignant
HNSCC25_P2_F06_S66_comb,malignant
HNSCC25_P2_A02_S2_comb,myofibroblast
HNSCC25_P2_B12_S24_comb,myofibroblast
HNSCC25_P2_E10_S58_comb,myofibroblast
HNSCC25_P2_E03_S51_comb,CAF
HNSCC25_P2_G05_S77_comb,myofibroblast
HNSCC25_P2_D05_S41_comb,malignant
HNSCC25_P2_E07_S55_comb,myofibroblast
HNSCC25_P2_F04_S64_comb,Mast
HNSCC25_P2_B05_S17_comb,myofibroblast
HNSCC25_P2_F11_S71_comb,malignant
HNSCC25_P2_B02_S14_comb,malignant
HNSCC25_P2_B03_S15_comb,CAF
HNSCC25_P2_F02_S62_comb,malignant
HNSCC25_P2_E06_S54_comb,myofibroblast
HNSCC25_P2_A01_S1_comb,myofibroblast
HNSCC25_P2_A06_S6_comb,malignant
HNSCC25_P2_D06_S42_comb,CAF
HNSCC25_P2_A03_S3_comb,Fibroblast
HNSCC25_P2_A10_S10_comb,Fibroblast
HNSCC25_P2_C11_S35_comb,CAF
HNSCC25_P2_D03_S39_comb,myofibroblast
HNSCC25_P2_D07_S43_comb,malignant
HNSCC25_P2_H04_S88_comb,Dendritic
HNSCC25_P2_C04_S28_comb,malignant
HNSCC25_P2_H03_S87_comb,malignant
HNSCC25_P2_B08_S20_comb,malignant
HNSCC25_P2_A05_S5_comb,Fibroblast
HNSCC25_P2_B04_S16_comb,CAF
HNSCC25_P2_A12_S12_comb,malignant
HNSCC25_P2_H10_S94_comb,myofibroblast
HNSCC25_P2_F01_S61_comb,myofibroblast
HNSCC25_P2_D02_S38_comb,CAF
HNSCC25_P2_F03_S63_comb,malignant
HNSCC25_P2_G03_S75_comb,malignant
HNSCC25_P2_E05_S53_comb,malignant
HNSCC25_P2_A09_S9_comb,malignant
HNSCC26_P3_F11_S167_comb,myofibroblast
HNSCC26_P3_H03_S183_comb,myofibroblast
HNSCC26_P3_G12_S180_comb,CAF
HNSCC26_P3_A10_S106_comb,myofibroblast
HNSCC26_P3_E11_S155_comb,myofibroblast
HNSCC26_P3_B08_S116_comb,myofibroblast
HNSCC26_P3_D09_S141_comb,myofibroblast
HNSCC26_P3_H07_S187_comb,myofibroblast
HNSCC26_P3_D03_S135_comb,T_cell
HNSCC26_P3_H06_S186_comb,malignant
HNSCC26_P3_B03_S111_comb,malignant
HNSCC26_P3_D10_S142_comb,CAF
HNSCC26_P3_A03_S99_comb,myofibroblast
HNSCC26_P3_A02_S98_comb,malignant
HNSCC26_P3_C12_S132_comb,myofibroblast
HNSCC26_P3_H09_S189_comb,myofibroblast
HNSCC26_P3_C10_S130_comb,malignant
HNSCC26_P3_H10_S190_comb,CAF
HNSCC26_P3_F03_S159_comb,malignant
HNSCC26_P3_E12_S156_comb,CAF
HNSCC26_P3_E03_S147_comb,CAF
HNSCC26_P3_C11_S131_comb,malignant
HNSCC26_P3_A09_S105_comb,malignant
HNSCC26_P3_G08_S176_comb,malignant
HNSCC26_P3_D04_S136_comb,malignant
HNSCC26_P3_C07_S127_comb,malignant
HNSCC26_P3_H05_S185_comb,malignant
HNSCC26_P3_D11_S143_comb,CAF
HNSCC26_P3_E02_S146_comb,myofibroblast
HNSCC26_P3_D05_S137_comb,malignant
HNSCC26_P3_D07_S139_comb,CAF
HNSCC26_P3_F08_S164_comb,myofibroblast
HNSCC25_P12_B02_S110_comb,T_cell
HNSCC25_P4_G05_S269_comb,malignant
HNSCC25_P12_F08_S164_comb,T_cell
HNSCC25_P12_D04_S136_comb,T_cell
HNSCC25_P12_F03_S159_comb,T_cell
HNSCC25_P12_E01_S145_comb,T_cell
HNSCC25_P4_H01_S277_comb,myofibroblast
HNSCC25_P12_B03_S111_comb,T_cell
HNSCC25_P4_H04_S280_comb,malignant
HNSCC25_P12_C03_S123_comb,T_cell
HNSCC25_P4_F02_S254_comb,myofibroblast
HNSCC25_P4_G12_S276_comb,malignant
HNSCC25_P12_F10_S166_comb,T_cell
HNSCC25_P12_E06_S150_comb,T_cell
HNSCC25_P4_D11_S239_comb,T_cell
HNSCC25_P4_D05_S233_comb,myofibroblast
HNSCC25_P12_A12_S108_comb,T_cell
HNSCC25_P4_B03_S207_comb,CAF
HNSCC25_P4_A03_S195_comb,Dendritic
HNSCC25_P12_G02_S170_comb,T_cell
HNSCC25_P12_E08_S152_comb,T_cell
HNSCC25_P4_E03_S243_comb,CAF
HNSCC25_P12_F09_S165_comb,T_cell
HNSCC25_P4_C02_S218_comb,myofibroblast
HNSCC25_P4_A02_S194_comb,malignant
HNSCC25_P4_A01_S193_comb,malignant
HNSCC25_P4_C11_S227_comb,CAF
HNSCC25_P4_D01_S229_comb,myofibroblast
HNSCC25_P4_G07_S271_comb,myofibroblast
HNSCC25_P4_H12_S288_comb,malignant
HNSCC25_P4_A07_S199_comb,malignant
HNSCC25_P4_F03_S255_comb,malignant
HNSCC25_P4_B09_S213_comb,malignant
HNSCC25_P12_E12_S156_comb,T_cell
HNSCC25_P4_E02_S242_comb,myocyte
HNSCC25_P12_H07_S187_comb,T_cell
HNSCC25_P12_E11_S155_comb,T_cell
HNSCC25_P4_B01_S205_comb,Fibroblast
HNSCC25_P4_A08_S200_comb,Endothelial
HNSCC25_P12_B09_S117_comb,T_cell
HNSCC25_P12_A08_S104_comb,T_cell
HNSCC25_P12_H08_S188_comb,T_cell
HNSCC25_P12_H06_S186_comb,T_cell
HNSCC25_P4_E04_S244_comb,myofibroblast
HNSCC25_P12_H12_S192_comb,T_cell
HNSCC25_P4_D03_S231_comb,myofibroblast
HNSCC25_P12_B10_S118_comb,T_cell
HNSCC25_P12_C02_S122_comb,Macrophage
HNSCC25_P12_F11_S167_comb,T_cell
HNSCC25_P4_F11_S263_comb,myofibroblast
HNSCC25_P12_F06_S162_comb,T_cell
HNSCC25_P4_F07_S259_comb,malignant
HNSCC25_P4_D08_S236_comb,myofibroblast
HNSCC25_P4_D09_S237_comb,Mast
HNSCC25_P4_F10_S262_comb,CAF
HNSCC25_P12_A11_S107_comb,T_cell
HNSCC25_P12_E02_S146_comb,T_cell
HNSCC25_P12_H01_S181_comb,T_cell
HNSCC25_P4_B05_S209_comb,CAF
HNSCC25_P4_B04_S208_comb,malignant
HNSCC25_P4_G08_S272_comb,malignant
HNSCC25_P4_B06_S210_comb,myofibroblast
HNSCC25_P4_C04_S220_comb,malignant
HNSCC25_P12_D11_S143_comb,T_cell
HNSCC25_P4_H07_S283_comb,malignant
